"REGIÃO
ADMINISTRATIVA",UNIDADE BÁSICA DE SAÚDE,HORÁRIO DE FUNCIONAMENTO,ENDEREÇO DA UNIDADE,lat,long
ÁGUAS CLARAS/AREAL,UNIDADE BÁSICA DE SAÚDE N° 9 DE TAGUATINGA,segunda a sexta das 07 às 19h e sábado das 07 às 12h,QS 05 LT 24 Av. Areal,-15.8535375,-48.0341592
ÁGUAS CLARAS/AREAL,UNIDADE BÁSICA DE SAÚDE N° 10 DE TAGUATINGA,segunda a sexta das 07 às 17h,QS 08 Conjunto 410 A Lote 15,-15.8564732,-48.0803591
ASA NORTE,UNIDADE BÁSICA DE SAÚDE N° 1 DA ASA NORTE,segunda a sexta das 07 às 18h e sábado das 07 às 12h,** SGAN 905 Módulo D - Asa Norte,-15.7733019,-47.8924184
ASA NORTE,UNIDADE BÁSICA DE SAÚDE N° 2 DA ASA NORTE,segunda a sexta das 07 às 19h e sábado das 07 às 12h,EQN 114/115 AE - Asa Norte,-15.7515436,-47.8854569
ASA NORTE,UNIDADE BÁSICA DE SAÚDE N° 3 DA ASA NORTE,segunda a sexta das 07 às 18h,"** Rua Piauí, Área Especial s/no - Vila Planalto",-15.7990489,-47.8607689
ASA NORTE,UNIDADE BÁSICA DE SAÚDE N° 4 DA ASA NORTE,segunda a sexta das 07 às 17h,Área Especial Q. 01 - Granja do Torto,-16.0132096,-48.0610194
ASA SUL,UNIDADE BÁSICA DE SAÚDE N° 1 DA ASA SUL,segunda a sexta das 07 às 18h,** Av. L2 Sul - Quadra 612,-15.8023269,-47.877398
BRAZLÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 1 DE BRAZLÂNDIA,segunda a sexta das 07 às 18h,EQ 6/8 Setor Norte Área Especial 3,-15.6767798,-48.1930025
BRAZLÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 2 DE BRAZLÂNDIA,segunda a sexta das 07 às 18h,Quadra 45 AE 01 - Vila São José,-15.6654787,-48.1911071
BRAZLÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 3 DE BRAZLÂNDIA,segunda a sexta das 07 às 17h,Quadra 3 Lote 6 Área Especial No 02 Setor Veredas,-15.6735102,-48.2020374
BRAZLÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 4 DE BRAZLÂNDIA,segunda a sexta das 07 às 17h,Quadra 01 Área Especial 1 Setor Veredas,-15.6789398,-48.1899962
BRAZLÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 5 DE BRAZLÂNDIA,segunda a sexta das 07 às 17h,Fazenda Almécegas BR 180 DF 205 KM 05 - Almécegas,-15.7997654,-47.8644715
BRAZLÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 6 DE BRAZLÂNDIA,segunda a sexta das 07 às 17h,RESERVA A DF 240 DF 008 DF 445 KM 4 VINCENAL,-15.6759571,-48.1391175
BRAZLÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 7 DE BRAZLÂNDIA,segunda a sexta das 07 às 17h,Quadra 15 Lote 02 LJ 01 Área Especial INCRA 08,-15.7403617,-48.1704086
BRAZLÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 8 DE BRAZLÂNDIA,A INAUGURAR,RESERVA A DF 240 DF 008 DF 445 KM 4 VINCENAL,-15.6759571,-48.1391175
CANDANGOLÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 1 DA CANDANGOLÂNDIA,segunda a sexta das 07 às 19h,** AE 05/07-Área Especial,-15.8408499,-48.0556992
CEILÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 1 DA CEILÂNDIA,segunda a sexta das 07 às 18h,"EQNP 7/11, área especial",-15.8191835,-48.1307334
CEILÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 2 DA CEILÂNDIA,segunda a sexta das 07 às 19h e sábado das 07 às 12h,QNN 13 – Ceilândia,-15.8077859,-48.1379933
CEILÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 3 DA CEILÂNDIA,segunda a sexta das 07 às 19h e sábado das 07 às 12h,QNM 15 LOTE D,-15.8133913,-48.0992025
